Id 	Season	City	Date	Team1	Team2	Winner	Player_of_match	Venue
38	2017	Pune	5/1/2017	Gujarat Lions	Rising Pune Supergiant	Rising Pune Supergiant	BA Stokes	Maharashtra Cricket Association Stadium
39	2017	Delhi	5/2/2017	Sunrisers Hyderabad	Delhi Daredevils	Delhi Daredevils	Mohammed Shami	Feroz Shah Kotla
40	2017	Kolkata	5/3/2017	Kolkata Knight Riders	Rising Pune Supergiant	Rising Pune Supergiant	RA Tripathi	Eden Gardens
41	2017	Delhi	5/4/2017	Gujarat Lions	Delhi Daredevils	Delhi Daredevils	RR Pant	Feroz Shah Kotla
42	2017	Bangalore	5/5/2017	Kings XI Punjab	Royal Challengers Bangalore	Kings XI Punjab	Sandeep Sharma	M Chinnaswamy Stadium
43	2017	Hyderabad	5/6/2017	Rising Pune Supergiant	Sunrisers Hyderabad	Rising Pune Supergiant	JD Unadkat	Rajiv Gandhi International Stadium, Uppal
44	2017	Delhi	5/6/2017	Mumbai Indians	Delhi Daredevils	Mumbai Indians	LMP Simmons	Feroz Shah Kotla
45	2017	Bangalore	5/7/2017	Royal Challengers Bangalore	Kolkata Knight Riders	Kolkata Knight Riders	SP Narine	M Chinnaswamy Stadium
46	2017	Chandigarh	5/7/2017	Kings XI Punjab	Gujarat Lions	Gujarat Lions	DR Smith	Punjab Cricket Association IS Bindra Stadium, Mohali
47	2017	Hyderabad	5/8/2017	Mumbai Indians	Sunrisers Hyderabad	Sunrisers Hyderabad	S Dhawan	Rajiv Gandhi International Stadium, Uppal
48	2017	Chandigarh	5/9/2017	Kings XI Punjab	Kolkata Knight Riders	Kings XI Punjab	MM Sharma	Punjab Cricket Association IS Bindra Stadium, Mohali
49	2017	Kanpur	5/10/2017	Gujarat Lions	Delhi Daredevils	Delhi Daredevils	SS Iyer	Green Park
50	2017	Mumbai	5/11/2017	Kings XI Punjab	Mumbai Indians	Kings XI Punjab	WP Saha	Wankhede Stadium
51	2017	Delhi	5/12/2017	Delhi Daredevils	Rising Pune Supergiant	Delhi Daredevils	KK Nair	Feroz Shah Kotla
52	2017	Kanpur	5/13/2017	Gujarat Lions	Sunrisers Hyderabad	Sunrisers Hyderabad	Mohammed Siraj	Green Park
53	2017	Kolkata	5/13/2017	Mumbai Indians	Kolkata Knight Riders	Mumbai Indians	AT Rayudu	Eden Gardens
54	2017	Pune	5/14/2017	Kings XI Punjab	Rising Pune Supergiant	Rising Pune Supergiant	JD Unadkat	Maharashtra Cricket Association Stadium
